Train No.,Train Name,Source Station Code,Source Station,Destination Station Code,Destination Station,Departure Time,Arrival Time,Route Distance (km)
'08010',PURI HWH SPECIA,PURI,PURI,HWH,HOWRAH JN,'21:15:00','10:30:00',502
'12009',SHATABDI EXP   ,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'06:25:00','13:10:00',491
'12249',HWH NDLS YUVA E,HWH,HOWRAH JN,NDLS,NEW DELHI,'18:40:00','11:30:00',1447
'12250',NDLS HWH YUVA  ,NDLS,NEW DELHI,HWH,HOWRAH JN,'19:40:00','12:40:00',1447
'12267',ADI DURONTO EXP,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'23:25:00','05:50:00',491
'12273',NDLS   DURONTO ,HWH,HOWRAH JN,NDLS,NEW DELHI,'12:45:00','06:20:00',1446
'12274',HWH DURONTO EXP,NDLS,NEW DELHI,HWH,HOWRAH JN,'12:55:00','06:10:00',1446
'12277',SATABDI EXPRESS,HWH,HOWRAH JN,PURI,PURI,'14:25:00','22:10:00',502
'12278',SATABDI EXPRESS,PURI,PURI,HWH,HOWRAH JN,'06:00:00','13:45:00',502
'12301',KOLKATA RAJDHNI,HWH,HOWRAH JN,NDLS,NEW DELHI,'16:55:00','10:00:00',1447
'12302',KOLKATA RJDHNI ,NDLS,NEW DELHI,HWH,HOWRAH JN,'16:55:00','09:55:00',1447
'12303',POORVA EXPRESS ,HWH,HOWRAH JN,NDLS,NEW DELHI,'08:05:00','07:35:00',1529
'12304',POORVA EXPRESS ,NDLS,NEW DELHI,HWH,HOWRAH JN,'16:15:00','16:55:00',1529
'12305',KOLKATA RJDHNI ,HWH,HOWRAH JN,NDLS,NEW DELHI,'14:05:00','10:00:00',1529
'12306',KOLKATA  RJDHNI,NDLS,NEW DELHI,HWH,HOWRAH JN,'16:55:00','12:40:00',1529
'12323',HWH NDLS EXPRES,HWH,HOWRAH JN,NDLS,NEW DELHI,'18:50:00','17:05:00',1447
'12324',NDLS HWH EXPRES,NDLS,NEW DELHI,HWH,HOWRAH JN,'06:55:00','06:00:00',1447
'12381',POORVA EXPRESS ,HWH,HOWRAH JN,NDLS,NEW DELHI,'08:15:00','07:35:00',1446
'12382',POORVA EXPRESS ,NDLS,NEW DELHI,HWH,HOWRAH JN,'16:15:00','16:55:00',1446
'12821',DHAULI EXP     ,HWH,HOWRAH JN,PURI,PURI,'06:00:00','14:30:00',502
'12822',DHAULI EXP     ,PURI,PURI,HWH,HOWRAH JN,'11:50:00','20:15:00',502
'12837',HWH PURI EXP   ,HWH,HOWRAH JN,PURI,PURI,'22:35:00','07:25:00',502
'12838',PURI HWH EXPRES,PURI,PURI,HWH,HOWRAH JN,'20:00:00','04:50:00',502
'12881',HWH PURI G RATH,HWH,HOWRAH JN,PURI,PURI,'20:55:00','05:55:00',502
'12882',PURI HWH G RATH,PURI,PURI,HWH,HOWRAH JN,'22:15:00','07:05:00',502
'12887',HWH PURI EXPRES,HWH,HOWRAH JN,PURI,PURI,'20:55:00','05:55:00',502
'12888',PURI HWH EXPRES,PURI,PURI,HWH,HOWRAH JN,'22:15:00','07:05:00',502
'12895',HWH PURI EXPRES,HWH,HOWRAH JN,PURI,PURI,'20:55:00','05:55:00',502
'12896',PURI HWH EXPRES,PURI,PURI,HWH,HOWRAH JN,'22:15:00','07:05:00',502
'12901',GUJARAT MAIL   ,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'22:00:00','06:35:00',491
'12931',ADI DOUBLE DECK,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'14:20:00','21:40:00',491
'12933',KARNAVATI EXP  ,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'13:40:00','21:25:00',491
'18409',SRIJAGANNATHEXP,HWH,HOWRAH JN,PURI,PURI,'19:00:00','04:35:00',502
'18410',SRIJAGANNATH EX,PURI,PURI,HWH,HOWRAH JN,'22:30:00','08:10:00',502
'19011',GUJARAT EXPRESS,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'05:45:00','14:55:00',491
'59439',AHMADABAD PASS ,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'12:15:00','04:35:00',491
'59441',AHMEDABAD PASS ,BCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,'22:40:00','14:45:00',491
